Session, Time, Freq (MHz), KrakenSDR ID, Latitude, Longitude, Bearing, Direction
(1, '2024-10-13T20:52:09.111772', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 155.0)
(1, '2024-10-13T20:52:09.113710', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 155.0)
(1, '2024-10-13T20:52:09.546914', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 155.0)
(1, '2024-10-13T20:52:09.548838', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 155.0)
(1, '2024-10-13T20:52:09.974425', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 154.0)
(1, '2024-10-13T20:52:09.981169', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 154.0)
(1, '2024-10-13T20:52:10.418367', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:52:10.420484', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(2, '2024-10-13 17:52:10', None, None, None, None, None, None)
(2, '2024-10-13T20:52:10.851592', 94.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(2, '2024-10-13T20:52:10.853499', 94.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(2, '2024-10-13T20:52:11.285720', 94.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(2, '2024-10-13T20:52:11.287469', 94.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(3, '2024-10-13 17:52:25', None, None, None, None, None, None)
(3, '2024-10-13T20:52:27.238949', 96.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 228.0)
(3, '2024-10-13T20:52:27.240917', 96.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 228.0)
(3, '2024-10-13T20:52:28.223119', 96.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 228.0)
(3, '2024-10-13T20:52:28.225013', 96.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 228.0)
(3, '2024-10-13T20:52:31.413073', 96.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 7.0)
(3, '2024-10-13T20:52:31.415184', 96.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 7.0)
(3, '2024-10-13T20:52:31.705372', 96.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 7.0)
(3, '2024-10-13T20:52:31.707147', 96.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 7.0)
(3, '2024-10-13T20:52:32.154196', 96.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 6.0)
(3, '2024-10-13T20:52:32.156009', 96.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 6.0)
(3, '2024-10-13T20:52:32.587207', 96.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 8.0)
(3, '2024-10-13T20:52:32.589032', 96.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 8.0)
(3, '2024-10-13T20:52:33.025902', 96.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 7.0)
(3, '2024-10-13T20:52:33.027784', 96.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 7.0)
(3, '2024-10-13T20:52:33.458986', 96.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 7.0)
(3, '2024-10-13T20:52:33.460871', 96.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 7.0)
(3, '2024-10-13T20:52:33.907419', 96.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 8.0)
(3, '2024-10-13T20:52:33.909425', 96.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 8.0)
(3, '2024-10-13T20:52:34.330855', 96.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 8.0)
(3, '2024-10-13T20:52:34.332614', 96.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 8.0)
(3, '2024-10-13T20:52:34.779179', 96.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 8.0)
(3, '2024-10-13T20:52:34.781000', 96.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 8.0)
(3, '2024-10-13T20:52:35.637518', 96.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 7.0)
(3, '2024-10-13T20:52:35.639369', 96.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 7.0)
(3, '2024-10-13T20:52:36.080304', 96.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 7.0)
(3, '2024-10-13T20:52:36.082405', 96.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 7.0)
(3, '2024-10-13T20:52:36.514144', 96.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 7.0)
